Day,Timepoint,Sample,Colony,Treatment,Species,LifeStage,Location,Thickness
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,988.72
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,961
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,1002.45
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,837.08
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,762.79
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,580.62
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,679.79
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,747.46
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,564.34
14,Final,10b,10,High,Pocillopora acuta,Adult,0,627.73
14,Final,10b,10,High,Pocillopora acuta,Adult,0,575.78
14,Final,10b,10,High,Pocillopora acuta,Adult,0,442.61
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,627.95
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,619.94
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,412.18
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,617.52
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,575.2
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,531.62
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,873.54
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,877.09
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,707.13
14,Final,11b,11,High,Pocillopora acuta,Adult,0,616.27
14,Final,11b,11,High,Pocillopora acuta,Adult,0,783.71
14,Final,11b,11,High,Pocillopora acuta,Adult,0,676.64
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,855.04
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,695.59
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,676
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,859
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,798.7
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,731.85
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,1170.25
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,1065.59
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,819.54
14,Final,12b,12,High,Pocillopora acuta,Adult,0,868.19
14,Final,12b,12,High,Pocillopora acuta,Adult,0,738.56
14,Final,12b,12,High,Pocillopora acuta,Adult,0,249.58
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,855.19
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,527.05
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,632.27
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,771.98
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,571.96
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,592.4
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,692.18
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,765.77
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,485.83
14,Final,13b,13,High,Pocillopora acuta,Adult,0,593.36
14,Final,13b,13,High,Pocillopora acuta,Adult,0,502.61
14,Final,13b,13,High,Pocillopora acuta,Adult,0,419.5
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,782.22
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,767.86
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,860.64
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,762.57
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,789.77
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,848.02
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,818.9
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,590.3
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,509.66
14,Final,14b,14,High,Pocillopora acuta,Adult,0,540.74
14,Final,14b,14,High,Pocillopora acuta,Adult,0,619.68
14,Final,14b,14,High,Pocillopora acuta,Adult,0,336.89
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,1008.59
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,1171
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,926.93
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1193.71
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1393.77
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1193.62
0,Initial,15b,15,High,Montipora capitata,Juvenile,0.06,1019.09
0,Initial,15b,15,High,Montipora capitata,Juvenile,0.06,980.49
0,Initial,15b,15,High,Montipora capitata,Juvenile,0.06,1776.06
20,Final,15b,15,High,Montipora capitata,Juvenile,0,1752.72
20,Final,15b,15,High,Montipora capitata,Juvenile,0,1716.9
20,Final,15b,15,High,Montipora capitata,Juvenile,0,1306.84
0,Initial,16a,16,Ambient,Montipora capitata,Juvenile,0,1450.85
0,Initial,16a,16,Ambient,Montipora capitata,Juvenile,0,1188.49
0,Initial,16a,16,Ambient,Montipora capitata,Juvenile,0,1514.44
20,Final,16a,16,Ambient,Montipora capitata,Juvenile,0,1149.98
20,Final,16a,16,Ambient,Montipora capitata,Juvenile,0,1395.05
20,Final,16a,16,Ambient,Montipora capitata,Juvenile,0,1390.34
0,Initial,16b,16,High,Montipora capitata,Juvenile,0.3,1127.91
0,Initial,16b,16,High,Montipora capitata,Juvenile,0.3,1429.86
0,Initial,16b,16,High,Montipora capitata,Juvenile,0.3,1577.39
20,Final,16b,16,High,Montipora capitata,Juvenile,0,1485.72
20,Final,16b,16,High,Montipora capitata,Juvenile,0,1345.12
20,Final,16b,16,High,Montipora capitata,Juvenile,0,1479.91
0,Initial,17a,17,Ambient,Montipora capitata,Juvenile,0,1856.44
0,Initial,17a,17,Ambient,Montipora capitata,Juvenile,0,1538.39
0,Initial,17a,17,Ambient,Montipora capitata,Juvenile,0,1832.99
20,Final,17a,17,Ambient,Montipora capitata,Juvenile,0,1797.53
20,Final,17a,17,Ambient,Montipora capitata,Juvenile,0,1481.32
20,Final,17a,17,Ambient,Montipora capitata,Juvenile,0,1864.76
0,Initial,17b,17,High,Montipora capitata,Juvenile,0.16,1345.1
0,Initial,17b,17,High,Montipora capitata,Juvenile,0.16,1242.16
0,Initial,17b,17,High,Montipora capitata,Juvenile,0.16,1191.19
20,Final,17b,17,High,Montipora capitata,Juvenile,0,1162.66
20,Final,17b,17,High,Montipora capitata,Juvenile,0,785.32
20,Final,17b,17,High,Montipora capitata,Juvenile,0,949.4
0,Initial,18a,18,Ambient,Montipora capitata,Juvenile,0.08,1583.36
0,Initial,18a,18,Ambient,Montipora capitata,Juvenile,0.08,1784.08
0,Initial,18a,18,Ambient,Montipora capitata,Juvenile,0.08,1762.58
20,Final,18a,18,Ambient,Montipora capitata,Juvenile,0,1687.9
20,Final,18a,18,Ambient,Montipora capitata,Juvenile,0,1149.57
20,Final,18a,18,Ambient,Montipora capitata,Juvenile,0,1498.05
0,Initial,18b,18,High,Montipora capitata,Juvenile,0.08,1267.93
0,Initial,18b,18,High,Montipora capitata,Juvenile,0.08,1125.29
0,Initial,18b,18,High,Montipora capitata,Juvenile,0.08,1102.8
20,Final,18b,18,High,Montipora capitata,Juvenile,0,1355.65
20,Final,18b,18,High,Montipora capitata,Juvenile,0,1060.3
20,Final,18b,18,High,Montipora capitata,Juvenile,0,1397.78
0,Initial,19a,19,Ambient,Montipora capitata,Juvenile,0.08,1673.46
0,Initial,19a,19,Ambient,Montipora capitata,Juvenile,0.08,1440.73
0,Initial,19a,19,Ambient,Montipora capitata,Juvenile,0.08,1474.75
20,Final,19a,19,Ambient,Montipora capitata,Juvenile,0,1197.77
20,Final,19a,19,Ambient,Montipora capitata,Juvenile,0,1176.02
20,Final,19a,19,Ambient,Montipora capitata,Juvenile,0,1238.31
0,Initial,19b,19,High,Montipora capitata,Juvenile,0,1466.98
0,Initial,19b,19,High,Montipora capitata,Juvenile,0,1247.39
0,Initial,19b,19,High,Montipora capitata,Juvenile,0,1069.53
20,Final,19b,19,High,Montipora capitata,Juvenile,-0.01,1078.3
20,Final,19b,19,High,Montipora capitata,Juvenile,-0.01,1165.08
20,Final,19b,19,High,Montipora capitata,Juvenile,-0.01,408.41
0,Initial,1b,1,High,Montipora capitata,Adult,-0.1,1925.97
0,Initial,1b,1,High,Montipora capitata,Adult,-0.1,1712.01
0,Initial,1b,1,High,Montipora capitata,Adult,-0.1,1774.99
20,Final,1b,1,High,Montipora capitata,Adult,0,1422.8
20,Final,1b,1,High,Montipora capitata,Adult,0,1153.58
20,Final,1b,1,High,Montipora capitata,Adult,0,829.72
0,Initial,20a,20,Ambient,Montipora capitata,Juvenile,0,1647.18
0,Initial,20a,20,Ambient,Montipora capitata,Juvenile,0,1334.3
0,Initial,20a,20,Ambient,Montipora capitata,Juvenile,0,1280.14
20,Final,20a,20,Ambient,Montipora capitata,Juvenile,0,1154.22
20,Final,20a,20,Ambient,Montipora capitata,Juvenile,0,945.35
20,Final,20a,20,Ambient,Montipora capitata,Juvenile,0,1072.8
0,Initial,20b,20,High,Montipora capitata,Juvenile,0.25,1845.42
0,Initial,20b,20,High,Montipora capitata,Juvenile,0.25,1592.75
0,Initial,20b,20,High,Montipora capitata,Juvenile,0.25,1665.82
20,Final,20b,20,High,Montipora capitata,Juvenile,-0.03,1148.23
20,Final,20b,20,High,Montipora capitata,Juvenile,-0.03,1488.43
20,Final,20b,20,High,Montipora capitata,Juvenile,-0.03,1184.91
0,Initial,21a,21,Ambient,Montipora capitata,Juvenile,0.11,1479.94
0,Initial,21a,21,Ambient,Montipora capitata,Juvenile,0.11,1874.3
0,Initial,21a,21,Ambient,Montipora capitata,Juvenile,0.11,1780.96
0,Initial,21b,21,High,Montipora capitata,Juvenile,0,1731.24
0,Initial,21b,21,High,Montipora capitata,Juvenile,0,1650.89
0,Initial,21b,21,High,Montipora capitata,Juvenile,0,1974.7
20,Final,21b,21,High,Montipora capitata,Juvenile,0,1520.14
20,Final,21b,21,High,Montipora capitata,Juvenile,0,1325.88
20,Final,21b,21,High,Montipora capitata,Juvenile,0,1269.85
0,Initial,22a,22,Ambient,Montipora capitata,Juvenile,0.11,2064.26
0,Initial,22a,22,Ambient,Montipora capitata,Juvenile,0.11,1708.81
0,Initial,22a,22,Ambient,Montipora capitata,Juvenile,0.11,1802.5
20,Final,22a,22,Ambient,Montipora capitata,Juvenile,0,1206.67
20,Final,22a,22,Ambient,Montipora capitata,Juvenile,0,1618.37
20,Final,22a,22,Ambient,Montipora capitata,Juvenile,0,1369.52
0,Initial,22b,22,High,Montipora capitata,Juvenile,0.11,1781.58
0,Initial,22b,22,High,Montipora capitata,Juvenile,0.11,1598.48
0,Initial,22b,22,High,Montipora capitata,Juvenile,0.11,1614.97
20,Final,22b,22,High,Montipora capitata,Juvenile,0,1063.25
20,Final,22b,22,High,Montipora capitata,Juvenile,0,1145.79
20,Final,22b,22,High,Montipora capitata,Juvenile,0,1079.7
0,Initial,23b,23,High,Montipora capitata,Juvenile,0.11,1535.81
0,Initial,23b,23,High,Montipora capitata,Juvenile,0.11,1421.8
0,Initial,23b,23,High,Montipora capitata,Juvenile,0.11,1271.98
20,Final,23b,23,High,Montipora capitata,Juvenile,0,1112.96
20,Final,23b,23,High,Montipora capitata,Juvenile,0,1203.43
20,Final,23b,23,High,Montipora capitata,Juvenile,0,1117.12
0,Initial,24a,24,Ambient,Pocillopora acuta,Juvenile,0,1224.19
0,Initial,24a,24,Ambient,Pocillopora acuta,Juvenile,0,885.83
0,Initial,24a,24,Ambient,Pocillopora acuta,Juvenile,0,594.24
14,Final,24a,24,Ambient,Pocillopora acuta,Juvenile,-0.08,959.67
14,Final,24a,24,Ambient,Pocillopora acuta,Juvenile,-0.08,607.07
14,Final,24a,24,Ambient,Pocillopora acuta,Juvenile,-0.08,730.91
0,Initial,24b,24,High,Pocillopora acuta,Juvenile,0,1156.99
0,Initial,24b,24,High,Pocillopora acuta,Juvenile,0,802.26
0,Initial,24b,24,High,Pocillopora acuta,Juvenile,0,787.07
14,Final,24b,24,High,Pocillopora acuta,Juvenile,0,567.97
14,Final,24b,24,High,Pocillopora acuta,Juvenile,0,306.49
14,Final,24b,24,High,Pocillopora acuta,Juvenile,0,394.54
0,Initial,25a,25,Ambient,Pocillopora acuta,Juvenile,0,1091.78
0,Initial,25a,25,Ambient,Pocillopora acuta,Juvenile,0,758.98
0,Initial,25a,25,Ambient,Pocillopora acuta,Juvenile,0,562.3
14,Final,25a,25,Ambient,Pocillopora acuta,Juvenile,0,781.32
14,Final,25a,25,Ambient,Pocillopora acuta,Juvenile,0,998.62
14,Final,25a,25,Ambient,Pocillopora acuta,Juvenile,0,1165.47
0,Initial,25b,25,High,Pocillopora acuta,Juvenile,0,712.12
0,Initial,25b,25,High,Pocillopora acuta,Juvenile,0,797.13
0,Initial,25b,25,High,Pocillopora acuta,Juvenile,0,517.31
14,Final,25b,25,High,Pocillopora acuta,Juvenile,0,895.11
14,Final,25b,25,High,Pocillopora acuta,Juvenile,0,722.98
14,Final,25b,25,High,Pocillopora acuta,Juvenile,0,452.75
0,Initial,26a,26,Ambient,Pocillopora acuta,Juvenile,0,1236
0,Initial,26a,26,Ambient,Pocillopora acuta,Juvenile,0,1216.78
0,Initial,26a,26,Ambient,Pocillopora acuta,Juvenile,0,838.99
14,Final,26a,26,Ambient,Pocillopora acuta,Juvenile,0,1143.64
14,Final,26a,26,Ambient,Pocillopora acuta,Juvenile,0,925.66
14,Final,26a,26,Ambient,Pocillopora acuta,Juvenile,0,806.83
0,Initial,26b,26,High,Pocillopora acuta,Juvenile,0,902.51
0,Initial,26b,26,High,Pocillopora acuta,Juvenile,0,780.35
0,Initial,26b,26,High,Pocillopora acuta,Juvenile,0,908.92
14,Final,26b,26,High,Pocillopora acuta,Juvenile,0,1127.92
14,Final,26b,26,High,Pocillopora acuta,Juvenile,0,792.18
14,Final,26b,26,High,Pocillopora acuta,Juvenile,0,528.79
0,Initial,27a,27,Ambient,Pocillopora acuta,Juvenile,0,1087.76
0,Initial,27a,27,Ambient,Pocillopora acuta,Juvenile,0,960.99
0,Initial,27a,27,Ambient,Pocillopora acuta,Juvenile,0,1245.3
14,Final,27a,27,Ambient,Pocillopora acuta,Juvenile,0,861.27
14,Final,27a,27,Ambient,Pocillopora acuta,Juvenile,0,673.48
14,Final,27a,27,Ambient,Pocillopora acuta,Juvenile,0,656.45
14,Final,27b,27,High,Pocillopora acuta,Juvenile,0,1275.76
14,Final,27b,27,High,Pocillopora acuta,Juvenile,0,495.52
14,Final,27b,27,High,Pocillopora acuta,Juvenile,0,429.07
0,Initial,27b,27,High,Pocillopora acuta,Juvenile,0,1102.13
0,Initial,27b,27,High,Pocillopora acuta,Juvenile,0,954.94
0,Initial,27b,27,High,Pocillopora acuta,Juvenile,0,689.06
0,Initial,28a,28,Ambient,Pocillopora acuta,Juvenile,0.07,1010
0,Initial,28a,28,Ambient,Pocillopora acuta,Juvenile,0.07,1034.64
0,Initial,28a,28,Ambient,Pocillopora acuta,Juvenile,0.07,935.16
14,Final,28a,28,Ambient,Pocillopora acuta,Juvenile,0,1049.44
14,Final,28a,28,Ambient,Pocillopora acuta,Juvenile,0,638.88
14,Final,28a,28,Ambient,Pocillopora acuta,Juvenile,0,749.89
0,Initial,28b,28,High,Pocillopora acuta,Juvenile,0.07,754.7
0,Initial,28b,28,High,Pocillopora acuta,Juvenile,0.07,1089.15
0,Initial,28b,28,High,Pocillopora acuta,Juvenile,0.07,801.2
14,Final,28b,28,High,Pocillopora acuta,Juvenile,0,1051.43
14,Final,28b,28,High,Pocillopora acuta,Juvenile,0,754.86
14,Final,28b,28,High,Pocillopora acuta,Juvenile,0,695.87
0,Initial,29a,29,Ambient,Pocillopora acuta,Juvenile,0.23,1006.6
0,Initial,29a,29,Ambient,Pocillopora acuta,Juvenile,0.23,789.58
0,Initial,29a,29,Ambient,Pocillopora acuta,Juvenile,0.23,765.88
14,Final,29a,29,Ambient,Pocillopora acuta,Juvenile,0,745.47
14,Final,29a,29,Ambient,Pocillopora acuta,Juvenile,0,612.2
14,Final,29a,29,Ambient,Pocillopora acuta,Juvenile,0,688.5
0,Initial,29b,29,High,Pocillopora acuta,Juvenile,0.1,804.06
0,Initial,29b,29,High,Pocillopora acuta,Juvenile,0.1,817.8
0,Initial,29b,29,High,Pocillopora acuta,Juvenile,0.1,661.86
14,Final,29b,29,High,Pocillopora acuta,Juvenile,0,514.69
14,Final,29b,29,High,Pocillopora acuta,Juvenile,0,603.87
14,Final,29b,29,High,Pocillopora acuta,Juvenile,0,592.64
0,Initial,2a,2,Ambient,Montipora capitata,Adult,-0.04,1274.38
0,Initial,2a,2,Ambient,Montipora capitata,Adult,-0.04,1266.54
0,Initial,2a,2,Ambient,Montipora capitata,Adult,-0.04,1171.98
20,Final,2a,2,Ambient,Montipora capitata,Adult,0,1280.87
20,Final,2a,2,Ambient,Montipora capitata,Adult,0,1508.12
20,Final,2a,2,Ambient,Montipora capitata,Adult,0,1518.84
0,Initial,2b,2,High,Montipora capitata,Adult,0,1731.43
0,Initial,2b,2,High,Montipora capitata,Adult,0,1224.9
0,Initial,2b,2,High,Montipora capitata,Adult,0,1521.46
20,Final,2b,2,High,Montipora capitata,Adult,0,2010.82
20,Final,2b,2,High,Montipora capitata,Adult,0,2034.43
20,Final,2b,2,High,Montipora capitata,Adult,0,1612.82
0,Initial,30a,30,Ambient,Pocillopora acuta,Juvenile,0.1,981.2
0,Initial,30a,30,Ambient,Pocillopora acuta,Juvenile,0.1,997.35
0,Initial,30a,30,Ambient,Pocillopora acuta,Juvenile,0.1,970.03
14,Final,30a,30,Ambient,Pocillopora acuta,Juvenile,0,950.09
14,Final,30a,30,Ambient,Pocillopora acuta,Juvenile,0,895.7
14,Final,30a,30,Ambient,Pocillopora acuta,Juvenile,0,708.02
0,Initial,30b,30,High,Pocillopora acuta,Juvenile,0.1,1145.53
0,Initial,30b,30,High,Pocillopora acuta,Juvenile,0.1,1051.72
0,Initial,30b,30,High,Pocillopora acuta,Juvenile,0.1,974.71
14,Final,30b,30,High,Pocillopora acuta,Juvenile,0,1043
14,Final,30b,30,High,Pocillopora acuta,Juvenile,0,663.4
14,Final,30b,30,High,Pocillopora acuta,Juvenile,0,869.49
0,Initial,3a,3,Ambient,Montipora capitata,Adult,0.06,2149.9
0,Initial,3a,3,Ambient,Montipora capitata,Adult,0.06,2034.39
0,Initial,3a,3,Ambient,Montipora capitata,Adult,0.06,1795.67
20,Final,3a,3,Ambient,Montipora capitata,Adult,0,1591.86
20,Final,3a,3,Ambient,Montipora capitata,Adult,0,1449.36
20,Final,3a,3,Ambient,Montipora capitata,Adult,0,1397.95
0,Initial,3b,3,High,Montipora capitata,Adult,-0.02,1847.39
0,Initial,3b,3,High,Montipora capitata,Adult,-0.02,1782.43
0,Initial,3b,3,High,Montipora capitata,Adult,-0.02,1458.76
20,Final,3b,3,High,Montipora capitata,Adult,0,789.23
20,Final,3b,3,High,Montipora capitata,Adult,0,826.48
20,Final,3b,3,High,Montipora capitata,Adult,0,835.21
0,Initial,4a,4,Ambient,Montipora capitata,Adult,-0.02,2245.18
0,Initial,4a,4,Ambient,Montipora capitata,Adult,-0.02,2190.56
0,Initial,4a,4,Ambient,Montipora capitata,Adult,-0.02,1964.59
20,Final,4a,4,Ambient,Montipora capitata,Adult,0,1444.72
20,Final,4a,4,Ambient,Montipora capitata,Adult,0,1238.27
20,Final,4a,4,Ambient,Montipora capitata,Adult,0,1103.74
0,Initial,4b,4,High,Montipora capitata,Adult,0,1390.91
0,Initial,4b,4,High,Montipora capitata,Adult,0,1531.73
0,Initial,4b,4,High,Montipora capitata,Adult,0,1262.88
20,Final,4b,4,High,Montipora capitata,Adult,0,1156.68
20,Final,4b,4,High,Montipora capitata,Adult,0,1216.79
20,Final,4b,4,High,Montipora capitata,Adult,0,1035.99
0,Initial,5a,5,Ambient,Montipora capitata,Adult,0.01,1359.7
0,Initial,5a,5,Ambient,Montipora capitata,Adult,0.01,1569.68
0,Initial,5a,5,Ambient,Montipora capitata,Adult,0.01,1751.1
20,Final,5a,5,Ambient,Montipora capitata,Adult,0,1710.42
20,Final,5a,5,Ambient,Montipora capitata,Adult,0,1601.01
20,Final,5a,5,Ambient,Montipora capitata,Adult,0,1584.17
0,Initial,5b,5,High,Montipora capitata,Adult,0,1587.35
0,Initial,5b,5,High,Montipora capitata,Adult,0,1542.77
0,Initial,5b,5,High,Montipora capitata,Adult,0,1746.69
20,Final,5b,5,High,Montipora capitata,Adult,0,1378.91
20,Final,5b,5,High,Montipora capitata,Adult,0,1363.1
20,Final,5b,5,High,Montipora capitata,Adult,0,1402.55
0,Initial,6a,6,Ambient,Montipora capitata,Adult,0.03,1579.23
0,Initial,6a,6,Ambient,Montipora capitata,Adult,0.03,1615.81
0,Initial,6a,6,Ambient,Montipora capitata,Adult,0.03,1577.37
20,Final,6a,6,Ambient,Montipora capitata,Adult,0,1532.41
20,Final,6a,6,Ambient,Montipora capitata,Adult,0,1151.93
20,Final,6a,6,Ambient,Montipora capitata,Adult,0,1152.48
0,Initial,6b,6,High,Montipora capitata,Adult,0.01,1645.7
0,Initial,6b,6,High,Montipora capitata,Adult,0.01,1591.34
0,Initial,6b,6,High,Montipora capitata,Adult,0.01,1542.39
20,Final,6b,6,High,Montipora capitata,Adult,0,1640.27
20,Final,6b,6,High,Montipora capitata,Adult,0,1018.44
20,Final,6b,6,High,Montipora capitata,Adult,0,1129.47
0,Initial,7a,7,Ambient,Montipora capitata,Adult,0,2173.65
0,Initial,7a,7,Ambient,Montipora capitata,Adult,0,2312.46
0,Initial,7a,7,Ambient,Montipora capitata,Adult,0,2078.83
20,Final,7a,7,Ambient,Montipora capitata,Adult,0,1391.56
20,Final,7a,7,Ambient,Montipora capitata,Adult,0,1573.21
20,Final,7a,7,Ambient,Montipora capitata,Adult,0,1541.04
0,Initial,7b,7,High,Montipora capitata,Adult,0,1893.28
0,Initial,7b,7,High,Montipora capitata,Adult,0,1962.64
0,Initial,7b,7,High,Montipora capitata,Adult,0,1615.97
20,Final,7b,7,High,Montipora capitata,Adult,0,1869.23
20,Final,7b,7,High,Montipora capitata,Adult,0,1429.51
20,Final,7b,7,High,Montipora capitata,Adult,0,1469.54
0,Initial,8a,8,Ambient,Pocillopora acuta,Adult,0,911.34
0,Initial,8a,8,Ambient,Pocillopora acuta,Adult,0,737.99
0,Initial,8a,8,Ambient,Pocillopora acuta,Adult,0,818.79
14,Final,8a,8,Ambient,Pocillopora acuta,Adult,0,743.33
14,Final,8a,8,Ambient,Pocillopora acuta,Adult,0,830.5
14,Final,8a,8,Ambient,Pocillopora acuta,Adult,0,882.12
0,Initial,8b,8,High,Pocillopora acuta,Adult,-0.05,802.56
0,Initial,8b,8,High,Pocillopora acuta,Adult,-0.05,793.2
0,Initial,8b,8,High,Pocillopora acuta,Adult,-0.05,563.44
14,Final,8b,8,High,Pocillopora acuta,Adult,0,602.46
14,Final,8b,8,High,Pocillopora acuta,Adult,0,506.25
14,Final,8b,8,High,Pocillopora acuta,Adult,0,389.93
0,Initial,9a,9,Ambient,Pocillopora acuta,Adult,0.07,847.74
0,Initial,9a,9,Ambient,Pocillopora acuta,Adult,0.07,897.73
0,Initial,9a,9,Ambient,Pocillopora acuta,Adult,0.07,881.16
14,Final,9a,9,Ambient,Pocillopora acuta,Adult,0,670.77
14,Final,9a,9,Ambient,Pocillopora acuta,Adult,0,851.43
14,Final,9a,9,Ambient,Pocillopora acuta,Adult,0,1098.26
0,Initial,9b,9,High,Pocillopora acuta,Adult,0,1103.38
0,Initial,9b,9,High,Pocillopora acuta,Adult,0,752.85
0,Initial,9b,9,High,Pocillopora acuta,Adult,0,706.69
14,Final,9b,9,High,Pocillopora acuta,Adult,0,421.88
14,Final,9b,9,High,Pocillopora acuta,Adult,0,286.74
14,Final,9b,9,High,Pocillopora acuta,Adult,0,210.2