Sample,Species,Tissue,Slice,Location,Thickness
MCAP9,MCAP,Colony,1,-0.32,1505.76
MCAP9,MCAP,Colony,1,-0.32,1580.18
MCAP9,MCAP,Colony,1,-0.32,1828.38
MCAP9,MCAP,Colony,2,0.11,1662.86
MCAP9,MCAP,Colony,2,0.11,1713.27
MCAP9,MCAP,Colony,2,0.11,2074.22
MCAP9,MCAP,Colony,3,0.51,2082.13
MCAP9,MCAP,Colony,3,0.51,1861.89
MCAP9,MCAP,Colony,3,0.51,2503.26
MCAP11,MCAP,Colony,1,0.39,1257.74
MCAP11,MCAP,Colony,1,0.39,1236.19
MCAP11,MCAP,Colony,1,0.39,1507.68
MCAP11,MCAP,Colony,2,0.01,1478.57
MCAP11,MCAP,Colony,2,0.01,1497.37
MCAP11,MCAP,Colony,2,0.01,1773.76
MCAP11,MCAP,Colony,3,-0.44,1467.32
MCAP11,MCAP,Colony,3,-0.44,1192.53
MCAP11,MCAP,Colony,3,-0.44,1550.55
MCAP40,MCAP,Colony,1,-0.52,2134.18
MCAP40,MCAP,Colony,1,-0.52,2011.39
MCAP40,MCAP,Colony,1,-0.52,1844.43
MCAP40,MCAP,Colony,2,0.12,2204.81
MCAP40,MCAP,Colony,2,0.12,2368.82
MCAP40,MCAP,Colony,2,0.12,2241.51
MCAP40,MCAP,Colony,3,0.68,2176.46
MCAP40,MCAP,Colony,3,0.68,2226.31
MCAP40,MCAP,Colony,3,0.68,1664.3
MCAP64,MCAP,Colony,1,0.53,1667.64
MCAP64,MCAP,Colony,1,0.53,1744.97
MCAP64,MCAP,Colony,1,0.53,2001
MCAP64,MCAP,Colony,2,0.03,1896.92
MCAP64,MCAP,Colony,2,0.03,1812.1
MCAP64,MCAP,Colony,2,0.03,2310.36
MCAP64,MCAP,Colony,3,-0.46,2787.47
MCAP64,MCAP,Colony,3,-0.46,1849.52
MCAP64,MCAP,Colony,3,-0.46,1379.66
MCAP145,MCAP,Colony,1,-0.41,1206.48
MCAP145,MCAP,Colony,1,-0.41,1048.7
MCAP145,MCAP,Colony,1,-0.41,1015
MCAP145,MCAP,Colony,2,0.01,1155.9
MCAP145,MCAP,Colony,2,0.01,1080.12
MCAP145,MCAP,Colony,2,0.01,1063.71
MCAP145,MCAP,Colony,3,0.41,1710.65
MCAP145,MCAP,Colony,3,0.41,1349.31
MCAP145,MCAP,Colony,3,0.41,2087.52
MCAP1753,MCAP,Colony,1,0.46,2421.55
MCAP1753,MCAP,Colony,1,0.46,2091.63
MCAP1753,MCAP,Colony,1,0.46,1562.94
MCAP1753,MCAP,Colony,2,-0.06,2056.1
MCAP1753,MCAP,Colony,2,-0.06,2167.15
MCAP1753,MCAP,Colony,2,-0.06,1566.93
MCAP1753,MCAP,Colony,3,-0.57,1897.52
MCAP1753,MCAP,Colony,3,-0.57,1869.55
MCAP1753,MCAP,Colony,3,-0.57,1295.09
PCOM3,PCOM,Colony,1,-0.66,900.45
PCOM3,PCOM,Colony,1,-0.66,611
PCOM3,PCOM,Colony,1,-0.66,955.96
PCOM3,PCOM,Colony,2,-0.23,1179.32
PCOM3,PCOM,Colony,2,-0.23,1208.97
PCOM3,PCOM,Colony,2,-0.23,734.32
PCOM3,PCOM,Colony,3,0.12,1074.9
PCOM3,PCOM,Colony,3,0.12,1167.62
PCOM3,PCOM,Colony,3,0.12,936.61
PCOM19,PCOM,Colony,1,0.25,1585.59
PCOM19,PCOM,Colony,1,0.25,1527.89
PCOM19,PCOM,Colony,1,0.25,1598.21
PCOM19,PCOM,Colony,2,0.05,1634.36
PCOM19,PCOM,Colony,2,0.05,1628.04
PCOM19,PCOM,Colony,2,0.05,2198.27
PCOM19,PCOM,Colony,3,-0.36,1544.37
PCOM19,PCOM,Colony,3,-0.36,1450.06
PCOM19,PCOM,Colony,3,-0.36,1299.44
PCOM25,PCOM,Colony,1,-0.29,1675.89
PCOM25,PCOM,Colony,1,-0.29,1925.19
PCOM25,PCOM,Colony,1,-0.29,1726.76
PCOM25,PCOM,Colony,2,-0.03,1652.15
PCOM25,PCOM,Colony,2,-0.03,1616.7
PCOM25,PCOM,Colony,2,-0.03,1535.35
PCOM25,PCOM,Colony,3,-0.16,1651.72
PCOM25,PCOM,Colony,3,-0.16,1630.79
PCOM25,PCOM,Colony,3,-0.16,1762.51
PCOM31,PCOM,Colony,1,-0.34,1509.24
PCOM31,PCOM,Colony,1,-0.34,1414.26
PCOM31,PCOM,Colony,1,-0.34,1440.66
PCOM31,PCOM,Colony,2,-0.1,1472.67
PCOM31,PCOM,Colony,2,-0.1,1243.08
PCOM31,PCOM,Colony,2,-0.1,1717.79
PCOM31,PCOM,Colony,3,0.55,1638.32
PCOM31,PCOM,Colony,3,0.55,1440.14
PCOM31,PCOM,Colony,3,0.55,1342.12
PCOM107,PCOM,Colony,1,-0.36,1480.79
PCOM107,PCOM,Colony,1,-0.36,1730.02
PCOM107,PCOM,Colony,1,-0.36,1559
PCOM107,PCOM,Colony,2,-0.04,1450.57
PCOM107,PCOM,Colony,2,-0.04,1658.97
PCOM107,PCOM,Colony,2,-0.04,1357.42
PCOM107,PCOM,Colony,3,0.45,1809.07
PCOM107,PCOM,Colony,3,0.45,1725.26
PCOM107,PCOM,Colony,3,0.45,1614.01
PCOM74,PCOM,Colony,1,-0.54,1922.09
PCOM74,PCOM,Colony,1,-0.54,1907.95
PCOM74,PCOM,Colony,1,-0.54,1763.91
PCOM74,PCOM,Colony,2,0.05,1847.81
PCOM74,PCOM,Colony,2,0.05,1970.4
PCOM74,PCOM,Colony,2,0.05,1791.75
PCOM74,PCOM,Colony,3,0.42,2003.88
PCOM74,PCOM,Colony,3,0.42,1828.84
PCOM74,PCOM,Colony,3,0.42,1660.2
PACU2,PACU,Polyp,1,0.65,783.04
PACU2,PACU,Polyp,1,0.65,790.2
PACU2,PACU,Polyp,1,0.65,342.5
PACU2,PACU,Connecting,1,0.65,292.39
PACU2,PACU,Connecting,1,0.65,379.55
PACU2,PACU,Connecting,1,0.65,276.23
PACU2,PACU,Polyp,2,-0.19,665.7
PACU2,PACU,Polyp,2,-0.19,642.21
PACU2,PACU,Connecting,2,-0.19,646.48
PACU2,PACU,Connecting,2,-0.19,512.12
PACU2,PACU,Polyp,3,-0.89,392.44
PACU2,PACU,Polyp,3,-0.89,391.17
PACU2,PACU,Connecting,3,-0.89,530.68
PACU2,PACU,Connecting,3,-0.89,427.94
PACU4,PACU,Polyp,1,0.27,771.8
PACU4,PACU,Polyp,1,0.27,725.9
PACU4,PACU,Connecting,1,0.27,590.47
PACU4,PACU,Connecting,1,0.27,533.55
PACU4,PACU,Connecting,1,0.27,455.87
PACU4,PACU,Connecting,2,0.05,536.15
PACU4,PACU,Connecting,2,0.05,504.32
PACU4,PACU,Connecting,2,0.05,443.16
PACU4,PACU,Polyp,3,-0.72,1127.19
PACU4,PACU,Polyp,3,-0.72,1346.63
PACU4,PACU,Connecting,3,-0.72,482.84
PACU4,PACU,Connecting,3,-0.72,486.32
PACU4,PACU,Connecting,3,-0.72,570.46
PACU18,PACU,Polyp,1,-0.5,763.66
PACU18,PACU,Polyp,1,-0.5,547.19
PACU18,PACU,Connecting,1,-0.5,421.49
PACU18,PACU,Connecting,1,-0.5,369.21
PACU18,PACU,Connecting,1,-0.5,355.48
PACU18,PACU,Polyp,2,-0.16,597.87
PACU18,PACU,Polyp,2,-0.16,720.88
PACU18,PACU,Connecting,2,-0.16,446.48
PACU18,PACU,Connecting,2,-0.16,425.72
PACU18,PACU,Connecting,2,-0.16,487.94
PACU18,PACU,Polyp,3,0.06,694.88
PACU18,PACU,Polyp,3,0.06,716.26
PACU18,PACU,Connecting,3,0.06,432.51
PACU18,PACU,Connecting,3,0.06,379.35
PACU18,PACU,Connecting,3,0.06,570.69
PACU85,PACU,Polyp,1,-0.42,636.8
PACU85,PACU,Polyp,1,-0.42,553.63
PACU85,PACU,Connecting,1,-0.42,394.45
PACU85,PACU,Connecting,1,-0.42,395.3
PACU85,PACU,Connecting,1,-0.42,485.4
PACU85,PACU,Polyp,2,0.05,712.89
PACU85,PACU,Polyp,2,0.05,470.48
PACU85,PACU,Connecting,2,0.05,616.44
PACU85,PACU,Connecting,2,0.05,715.18
PACU85,PACU,Connecting,2,0.05,660.06
PACU85,PACU,Polyp,3,0.43,602.18
PACU85,PACU,Polyp,3,0.43,596.14
PACU85,PACU,Connecting,3,0.43,470.39
PACU85,PACU,Connecting,3,0.43,642.63
PACU85,PACU,Connecting,3,0.43,539.25
PACU109,PACU,Polyp,1,0.67,351.7
PACU109,PACU,Polyp,1,0.67,320.77
PACU109,PACU,Connecting,1,0.67,404.23
PACU109,PACU,Connecting,1,0.67,320.45
PACU109,PACU,Connecting,1,0.67,393.33
PACU109,PACU,Polyp,2,0.14,395.36
PACU109,PACU,Polyp,2,0.14,509.55
PACU109,PACU,Connecting,2,0.14,340.06
PACU109,PACU,Connecting,2,0.14,403.43
PACU109,PACU,Connecting,2,0.14,385.5
PACU109,PACU,Polyp,3,-0.57,486.93
PACU109,PACU,Polyp,3,-0.57,486.43
PACU109,PACU,Connecting,3,-0.57,331.02
PACU109,PACU,Connecting,3,-0.57,384.03
PACU109,PACU,Connecting,3,-0.57,286.44
PACU111,PACU,Polyp,1,-0.06,418.9
PACU111,PACU,Polyp,1,-0.06,387.2
PACU111,PACU,Connecting,1,-0.06,293.96
PACU111,PACU,Connecting,1,-0.06,350.46
PACU111,PACU,Connecting,1,-0.06,288.86
PACU111,PACU,Connecting,2,0.18,361.83
PACU111,PACU,Connecting,2,0.18,274.28
PACU111,PACU,Connecting,2,0.18,247.18
PACU111,PACU,Polyp,3,0.47,375.52
PACU111,PACU,Polyp,3,0.47,311.74
PACU111,PACU,Connecting,3,0.47,374.48
PACU111,PACU,Connecting,3,0.47,223.79
PACU111,PACU,Connecting,3,0.47,373.78
PVAR35,PVAR,Colony,1,-0.33,1426.25
PVAR35,PVAR,Colony,1,-0.33,1378.44
PVAR35,PVAR,Colony,1,-0.33,904.91
PVAR35,PVAR,Colony,2,0.05,1362.7
PVAR35,PVAR,Colony,2,0.05,1474.13
PVAR35,PVAR,Colony,2,0.05,1216.36
PVAR35,PVAR,Colony,3,0.48,1220.31
PVAR35,PVAR,Colony,3,0.48,1179.17
PVAR35,PVAR,Colony,3,0.48,1023.68
PVAR84,PVAR,Colony,1,0.36,894.7
PVAR84,PVAR,Colony,1,0.36,719.3
PVAR84,PVAR,Colony,1,0.36,1371.99
PVAR84,PVAR,Colony,2,-0.01,629.92
PVAR84,PVAR,Colony,2,-0.01,1275.04
PVAR84,PVAR,Colony,2,-0.01,986.18
PVAR84,PVAR,Colony,3,-0.24,1026.33
PVAR84,PVAR,Colony,3,-0.24,954.39
PVAR84,PVAR,Colony,3,-0.24,1177.21
PVAR148,PVAR,Colony,1,-0.03,736.82
PVAR148,PVAR,Colony,1,-0.03,753.67
PVAR148,PVAR,Colony,1,-0.03,879.41
PVAR148,PVAR,Colony,2,0.16,797.91
PVAR148,PVAR,Colony,2,0.16,830.4
PVAR148,PVAR,Colony,2,0.16,833.69
PVAR148,PVAR,Colony,3,0.32,654.65
PVAR148,PVAR,Colony,3,0.32,819.39
PVAR148,PVAR,Colony,3,0.32,792.73
PVAR208,PVAR,Colony,1,0.47,935.32
PVAR208,PVAR,Colony,1,0.47,1028.56
PVAR208,PVAR,Colony,1,0.47,827.46
PVAR208,PVAR,Colony,2,0.12,1009.6
PVAR208,PVAR,Colony,2,0.12,870.8
PVAR208,PVAR,Colony,2,0.12,1067.8
PVAR208,PVAR,Colony,3,-0.36,718.78
PVAR208,PVAR,Colony,3,-0.36,841.49
PVAR208,PVAR,Colony,3,-0.36,1047.5
PVAR1104,PVAR,Colony,1,0.46,872.89
PVAR1104,PVAR,Colony,1,0.46,896.31
PVAR1104,PVAR,Colony,1,0.46,743.44
PVAR1104,PVAR,Colony,2,-0.03,1582.38
PVAR1104,PVAR,Colony,2,-0.03,1072.39
PVAR1104,PVAR,Colony,2,-0.03,978.61
PVAR1104,PVAR,Colony,3,-0.25,1541.92
PVAR1104,PVAR,Colony,3,-0.25,1671.59
PVAR1104,PVAR,Colony,3,-0.25,1260.52
PVAR1982,PVAR,Colony,1,0.58,1183.52
PVAR1982,PVAR,Colony,1,0.58,1459.87
PVAR1982,PVAR,Colony,1,0.58,1654.26
PVAR1982,PVAR,Colony,2,0.2,1580.01
PVAR1982,PVAR,Colony,2,0.2,984.11
PVAR1982,PVAR,Colony,2,0.2,1764.45
PVAR1982,PVAR,Colony,3,-0.41,1210.93
PVAR1982,PVAR,Colony,3,-0.41,1103.56
PVAR1982,PVAR,Colony,3,-0.41,2250.65