Tunic,Tissue,Thickness
MCAP9,Colony,2332.087
MCAP9,Colony,2349.921
MCAP9,Colony,1846.608
MCAP9,Colony,1307.367
MCAP9,Colony,673.567
MCAP9,Colony,803.365
MCAP9,Colony,673.49
MCAP9,Colony,471.405
MCAP11,Colony,1738.58
MCAP11,Colony,1040.534
MCAP11,Colony,1534.591
MCAP11,Colony,1613.146
MCAP11,Colony,1455.15
MCAP11,Colony,979.104
MCAP11,Colony,818.546
MCAP11,Colony,1302.45
MCAP64,Colony,1500.798
MCAP64,Colony,1569.44
MCAP64,Colony,1837.36
MCAP64,Colony,2294.535
MCAP64,Colony,2359.94
MCAP64,Colony,2280.54
MCAP64,Colony,2074.785
MCAP64,Colony,2069.191
MCAP145,Colony,1113.694
MCAP145,Colony,1264.84
MCAP145,Colony,1944.012
MCAP145,Colony,1626.43
MCAP145,Colony,2041.22
MCAP145,Colony,2041.22
MCAP145,Colony,2413.188
MCAP145,Colony,973.964
MCAP1753,Colony,1154.586
MCAP1753,Colony,724.76
MCAP1753,Colony,2067.764
MCAP1753,Colony,1768.097
MCAP1753,Colony,1967.912
MCAP1753,Colony,1620.612
MCAP1753,Colony,1698.915
MCAP1753,Colony,1016.619
MCAP40,Colony,2682.051
MCAP40,Colony,3245.88
MCAP40,Colony,3419.683
MCAP40,Colony,2039.36
MCAP40,Colony,1187.827
MCAP40,Colony,2918.974
MCAP40,Colony,1714.486
MCAP40,Colony,959.612
PVAR148,Colony,1843.661
PVAR148,Colony,1242.034
PVAR148,Colony,1210.017
PVAR148,Colony,1846.638
PVAR148,Colony,1023.668
PVAR148,Colony,1461.348
PVAR148,Colony,1774.68
PVAR148,Colony,824.87
PVAR208,Colony,1334.353
PVAR208,Colony,598.031
PVAR208,Colony,562.072
PVAR208,Colony,911.954
PVAR208,Colony,1013.912
PVAR208,Colony,887.592
PVAR208,Colony,1398.522
PVAR208,Colony,1375.437
PVAR1982,Colony,742.442
PVAR1982,Colony,1822.937
PVAR1982,Colony,1273.615
PVAR1982,Colony,2365.522
PVAR1982,Colony,1652.875
PVAR1982,Colony,913.159
PVAR1982,Colony,2014.581
PVAR1982,Colony,2041.253
PVAR35,Colony,1356.192
PVAR35,Colony,1127.615
PVAR35,Colony,653.441
PVAR35,Colony,693.629
PVAR35,Colony,1304.543
PVAR35,Colony,1174.526
PVAR35,Colony,700.599
PVAR35,Colony,199.944
PVAR84,Colony,824.012
PVAR84,Colony,1279.448
PVAR84,Colony,1322.201
PVAR84,Colony,2107.419
PVAR84,Colony,1875.941
PVAR84,Colony,2074.29
PVAR84,Colony,1437.008
PVAR84,Colony,1130.81
PVAR1104,Colony,1544.389
PVAR1104,Colony,1037.866
PVAR1104,Colony,1962.925
PVAR1104,Colony,1645.663
PVAR1104,Colony,2248.722
PVAR1104,Colony,1616.821
PVAR1104,Colony,824.537
PVAR1104,Colony,727.713
PACU18,Polyp,453.199
PACU18,Polyp,449.741
PACU18,Polyp,401.754
PACU18,Polyp,357.408
PACU18,Connecting,299.551
PACU18,Connecting,158.473
PACU18,Connecting,272.747
PACU18,Connecting,346.414
PACU85,Polyp,751.871
PACU85,Polyp,987.968
PACU85,Polyp,1023.335
PACU85,Polyp,998.245
PACU85,Connecting,268.813
PACU85,Connecting,190.573
PACU85,Connecting,229.617
PACU85,Connecting,425.84
PACU109,Polyp,764.786
PACU109,Polyp,778.87
PACU109,Polyp,891.93
PACU109,Polyp,794.111
PACU109,Connecting,393.128
PACU109,Connecting,587.837
PACU109,Connecting,283.076
PACU109,Connecting,587.837
PACU2,Polyp,725.286
PACU2,Polyp,648.715
PACU2,Polyp,811.596
PACU2,Polyp,583.92
PACU2,Connecting,345.958
PACU2,Connecting,467.785
PACU2,Connecting,443.174
PACU2,Connecting,561.596
PACU4,Polyp,338.546
PACU4,Polyp,710.229
PACU4,Polyp,598.984
PACU4,Polyp,530.388
PACU4,Connecting,214.412
PACU4,Connecting,541.791
PACU4,Connecting,247.496
PACU4,Connecting,352.731
PACU111,Polyp,319.037
PACU111,Polyp,350.836
PACU111,Polyp,326.881
PACU111,Polyp,373.357
PACU111,Connecting,245.16
PACU111,Connecting,263.932
PACU111,Connecting,400.633
PACU111,Connecting,468.464
PCOM74,Colony,1783.609
PCOM74,Colony,1944.299
PCOM74,Colony,1978.259
PCOM74,Colony,2148.268
PCOM74,Colony,2248.865
PCOM74,Colony,2357.809
PCOM74,Colony,2691.913
PCOM74,Colony,2316.749
PCOM19,Colony,1446.904
PCOM19,Colony,1224.454
PCOM19,Colony,858.012
PCOM19,Colony,1022.454
PCOM19,Colony,898.877
PCOM19,Colony,1010.825
PCOM19,Colony,976.81
PCOM19,Colony,1269.944
PCOM25,Colony,1775.377
PCOM25,Colony,1721.885
PCOM25,Colony,1783.337
PCOM25,Colony,2037.202
PCOM25,Colony,2178.315
PCOM25,Colony,2487.976
PCOM25,Colony,2156.465
PCOM25,Colony,1284.77
PCOM107,Colony,600.411
PCOM107,Colony,1059.672
PCOM107,Colony,1182.169
PCOM107,Colony,1048.19
PCOM107,Colony,1130.34
PCOM107,Colony,1431.163
PCOM107,Colony,1994.433
PCOM107,Colony,2174.252
PCOM31,Colony,2228.73
PCOM31,Colony,2725.132
PCOM31,Colony,2185.131
PCOM31,Colony,2684.221
PCOM31,Colony,2867.442
PCOM31,Colony,2873.428
PCOM31,Colony,1085.149
PCOM31,Colony,1609.252
PCOM3,Colony,695.151
PCOM3,Colony,1043.213
PCOM3,Colony,1052.408
PCOM3,Colony,1425.685
PCOM3,Colony,1416.184
PCOM3,Colony,1321.156
PCOM3,Colony,1652.171
PCOM3,Colony,1728.846